Product,Type,Price,Category,cy,fi,il,nl,tt,uk,us
abbedissa,Jukebox,69,record player,barn,matkailu,ענן,aantal,nature,multiply,did
abborre,Bunk bed,99,bed,codi,lue,עניבה,ran,group,engine,held
abc,Bar cabinet,99,cabinet,eiddo,höyry,שמלה,leggen,look,search,board
abdikera,Murphy bed,79,bed,disgwyl,valmis,עניין,cel,afraid,be,mother
aber,Curio cabinet,49,cabinet,cyrraedd,tauko,אבל,enkelvoudige,effect,last,most
abnorm,Filing cabinet,119,cabinet,syml,oikeinkirjoituksen,איבר,haar,bat,deep,share
abonnemang,Pantry,149,kitchen,dedfryd,muu,תור,winkel,dollar,about,walk
abonnent,Accubita,29,accubita,gofyn,katu,סכנה,hoog,same,send,than
abonnera,Gun cabinet,49,cabinet,gaethweision,uusi,גדול,zilver,mine,grew,engine
abort,Cupboard,59,cupboard,modfedd,sivuliike,יופי,view,farm,lay,shine
abrakadabra,Toddler bed,89,bed,wyf,viime,לשפשף,toonhoogte,able,length,come
abrupt,Plant stand,9,potted plant,tynnu,harmaa,חור,lezen,country,show,won’t
absolutism,Tuffet,79,room,hir,valkoinen,הברה,vooruit,rise,believe,buy
absolutist,Waterbed,189,bed,nant,molemmat,צוואר,stad,raise,think,here
abstinens,Jukebox,69,record player,peri,ympyrä,הזנה,end,chord,govern,field
abstrahera,Footstool,9,footstool,disgwyl,viileä,זרוע,vliegen,our,govern,food
abstrakt,Bean bag,119,bean bag,mynydd,muutos,תכנית,band,experience,design,metal
abstraktion,Billiard table,19,table,bach,aurinko,המאה,bedden,rise,product,special
absurd,Baker's rack,44,rack,pêl,ajatus,גדול,vorm,ground,much,together
accelerera,Waterbed,139,bed,gwn,kuusi,זרוע,oefening,particular,cut,please
accent,Bar cabinet,49,cabinet,swydd,hattu,גברת,zuiden,lie,cent,surprise
accentuera,Hoosier cabinet,29,cabinet,côt,yksinkertainen,ראש,levering,busy,dead,valley
acceptabel,Stipo a bambocci,79,room,ers,äänekäs,רק,springen,pair,noon,found
acceptera,Plant stand,9,potted plant,gyffredin,asettaa,למעלה,onderwerp,place,else,final
accis,Toddler bed,249,bed,enw,alkuun,הכה,eenvoudig,ever,between,die
aceton,Gun cabinet,39,cabinet,lori,vastaan,טרי,ochtend,root,each,master
acklamation,Plan chest,109,cabinet,ysgrifenedig,kerran,שלו,vrachtwagen,move,nature,there
ackord,Cupboard,49,cupboard,siwgr,ääni,דירה,coat,small,send,current
ackreditera,Footstool,29,footstool,sefyllfa,tulevat,ראוי,controle,list,class,laugh
ackumulera,Billiard table,19,table,arfordir,jatkaa,רשאי,wachten,event,dog,capital
ackuratess,Nightstand,9,nightstand,llygad,ajatella,מוסיקה,leeftijd,while,substance,wing
acne,Hall tree,49,hatstand,cyfnod,pelata,בבוקר,magneet,smile,glad,bed
action,Four-poster bed,239,bed,rhestr,pitäisi,ברווז,afdrukken,rock,strong,bat
addera,Pinball machine,109,arcade,llyn,sininen,חם,soldaat,consonant,our,more
addition,Bookcase,39,bookcase,darn,cross,רחב,tot,cut,nine,top
adekvat,Stipo a bambocci,59,room,uchel,pää,נפגש,zou,sent,half,cold
adel,Cupboard,59,cupboard,cysgu,jotkut,לראות,meisje,need,car,character
adept,Piano,9,music,efallai,koti,תמיכה,kijken,said,dad,could
adjektiv,Bean bag,149,bean bag,pryfed,säilytettävä,לדון,voorjaar,believe,pull,story
adjungera,Plan chest,79,cabinet,gair,show,שבע,papier,laugh,smell,power
adjunkt,Tuffet,69,room,dyfeisio,niitä,טבח,medeklinker,question,bar,don’t
adla,Curio cabinet,9,cabinet,graig,vähiten,להיכנס,leugen,ocean,lost,your
adoptera,Radio receiver,19,radio receiver,llawn,puhtaita,אקורד,moet,us,surface,oh
adoption,Entertainment center,109,hifi system,eto,olivat,דמות,zijn,us,event,language
adrenalin,Waterbed,169,bed,awr,taso,להניח,ruimte,symbol,ready,parent
adress,Billiard table,9,table,plaen,päälle,קהל,dienen,earth,record,force
adressat,Floating shelf,9,shelf,dyffryn,kolmio,דורש,ronde,both,nature,animal
adressera,Jukebox,49,record player,cyfle,puhua,בודד,land,found,eye,south
advent,Bunk bed,99,bed,hanner,koskaan,חיפוש,boot,together,bottom,subtract
adverb,Daybed,229,bed,llif,huono,גם,oude,phrase,rise,reason
adverbial,Chifforobe,19,room,anifail,maa,הורה,auto,clothe,stand,interest
advokat,Footstool,19,footstool,hir,höyry,אם,drankje,such,quick,crop
aerogram,Pinball machine,29,arcade,digwyddiad,uskoa,דפוס,zingen,dance,week,glad
afasi,Waterbed,79,bed,trac,uskoa,מדוע,decimaal,shell,neighbor,sand
affekt,Floating shelf,9,shelf,de,laiva,לזכור,winkel,quiet,key,slow
affekterad,Plant stand,9,potted plant,ffrind,kaupunki,אולי,heet,either,start,able
affektion,Nightstand,59,nightstand,cyffwrdd,kahdeksan,גדול,minuut,shine,student,them
affisch,Filing cabinet,129,cabinet,ffon,nostaa,דקות,kant,fresh,subtract,receive
affischera,Plant stand,9,potted plant,sylfaen,lopullinen,גדול,tien,stick,kill,consonant
affär,Chest of drawers,39,drawers,planhigion,yhteensä,פנים,aanbod,lift,own,heart
aforism,Bunk bed,189,bed,sylfaen,viikuna,זרע,leren,notice,paragraph,collect
afrikan,Hammock,89,hammock,gallu,nopeus,שיער,melodie,gone,meat,rather
afrikansk,Bunk bed,69,bed,awyren,suola,להיכנס,vooruit,old,steel,listen
afton,Canopy bed,69,bed,cwmni,äänekäs,אבן,column,block,self,crop
