Product,Type,Price,Category
abbedissa,Billiard table,59,table
abborre,Wine rack,14,rack
abc,Sleigh bed,69,bed
abdikera,Hammock,49,hammock
aber,Footstool,19,footstool
abnorm,Curio cabinet,109,cabinet
abonnemang,Chest of drawers,99,drawers
abonnent,Wardrobe,29,wardrobe
abonnera,Pantry,9,kitchen
abort,Floating shelf,109,shelf
abrakadabra,Entertainment center,59,hifi system
abrupt,Cupboard,9,cupboard
absolutism,Curio cabinet,39,cabinet
absolutist,Piano,49,music
abstinens,Stipo a bambocci,19,room
abstrahera,Pantry,59,kitchen
abstrakt,Hoosier cabinet,39,cabinet
abstraktion,Accubita,79,accubita
absurd,Wine rack,24,rack
accelerera,Wardrobe,59,wardrobe
accent,Hoosier cabinet,59,cabinet
accentuera,Murphy bed,149,bed
acceptabel,Footstool,29,footstool
acceptera,Chest of drawers,119,drawers
accis,Bean bag,9,bean bag
aceton,Wine rack,44,rack
acklamation,Waterbed,169,bed
ackord,Bathroom cabinet,99,cabinet
ackreditera,Liquor cabinet,49,cabinet
ackumulera,Radio receiver,129,radio receiver
ackuratess,Radio receiver,89,radio receiver
acne,Bar cabinet,89,cabinet
action,Radio receiver,9,radio receiver
addera,Hammock,9,hammock
addition,Accubita,49,accubita
adekvat,Bathroom cabinet,149,cabinet
adel,Nightstand,39,nightstand
adept,Radio receiver,19,radio receiver
adjektiv,Piano,49,music
adjungera,Hatstand,29,hatstand
adjunkt,Futon,149,bed
adla,Liquor cabinet,49,cabinet
adoptera,Plan chest,79,cabinet
adoption,Bookcase,9,bookcase
adrenalin,Hammock,9,hammock
adress,Platform bed,129,bed
adressat,Entertainment center,109,hifi system
adressera,Four-poster bed,89,bed
advent,Bar cabinet,19,cabinet
adverb,Bean bag,9,bean bag
adverbial,Kitchen cabinet,69,cabinet
advokat,Cupboard,9,cupboard
aerogram,Kitchen cabinet,29,cabinet
afasi,Entertainment center,99,hifi system
affekt,Closet,149,closet
affekterad,Hatstand,29,hatstand
affektion,Piano,39,music
affisch,Hoosier cabinet,19,cabinet
affischera,Hoosier cabinet,59,cabinet
affär,Toddler bed,179,bed
aforism,Filing cabinet,129,cabinet
afrikan,Closet,59,closet
afrikansk,Kitchen cabinet,59,cabinet
afton,Futon,199,bed
aga,Closet,19,closet
aga,Kitchen cabinet,19,cabinet
agent,Hatstand,9,hatstand
agera,Bar cabinet,129,cabinet
agg,Hammock,39,hammock
aggregat,Daybed,69,bed
aggression,Plant stand,29,potted plant
aggressiv,Four-poster bed,179,bed
agitera,Stipo a bambocci,29,room
agn,Waterbed,189,bed
agnar,Hoosier cabinet,39,cabinet
agronom,Pinball machine,59,arcade
aids,Kitchen cabinet,19,cabinet
ajournera,Mattress,69,mattress
akademi,Futon,119,bed
akademiker,Accubita,59,accubita
akademisk,Cabinetry,109,cabinet
akrobat,Baker's rack,44,rack
akryl,Billiard table,39,table
akta,Accubita,69,accubita
akter,Nightstand,9,nightstand
aktie,Pantry,119,kitchen
aktion,Accubita,69,accubita
aktiv,Hoosier cabinet,39,cabinet
aktivera,Four-poster bed,249,bed
aktivist,Baker's rack,34,rack
aktivitet,Sleigh bed,149,bed
aktning,Hatstand,29,hatstand
aktris,Hall tree,39,hatstand
aktsam,Bookcase,9,bookcase
aktualisera,Cabinetry,9,cabinet
aktualitet,Television set,9,television
aktuell,Floating shelf,19,shelf
aktör,Hatstand,29,hatstand
akupunktur,Wine rack,34,rack
akustik,Floating shelf,99,shelf
akustisk,Curio cabinet,139,cabinet
akut,Pantry,109,kitchen
akvarell,Bar cabinet,99,cabinet
akvarium,Liquor cabinet,79,cabinet
al,Four-poster bed,129,bed
alabaster,Chest of drawers,129,drawers
aladåb,Billiard table,19,table
alarm,Canopy bed,189,bed
alarmerande,Wine rack,14,rack
alban,Cabinetry,79,cabinet
albansk,Gun cabinet,89,cabinet
albino,Bean bag,9,bean bag
album,Chess table,129,table
alert,Jukebox,19,record player
alfabet,Baker's rack,44,rack
alfabetisk,Bookcase,9,bookcase
alg,Bunk bed,79,bed
algerier,Television set,9,television
algerisk,Liquor cabinet,49,cabinet
alibi,Curio cabinet,79,cabinet
alienation,Mattress,9,mattress
alienerad,Bunk bed,159,bed
alika,Nightstand,29,nightstand
alkemi,Cabinetry,99,cabinet
alkohol,Stipo a bambocci,29,room
alkoholism,Daybed,109,bed
alkoholist,Curio cabinet,69,cabinet
alkov,Wardrobe,39,wardrobe
alldaglig,Entertainment center,89,hifi system
allegori,Bean bag,9,bean bag
allehanda,Toddler bed,259,bed
allergi,Piano,39,music
